completion_rate,active_completion_rate,active_demand_share,velocity,balance_gini,price_index,acceptance,reciprocal_volume_share,launch5_completion,early30_completion,late30_completion,late30_active_completion,launch5_bottom_access,late30_bottom_access,launch5_price,late30_price,late30_capacity_pressure,conservation_error,coverage,mean_balance,top10_share,tau,recycle,tight_capacity,seed,experiment
0.37274610343305375,0.37274610343305375,1.0,0.131273776150181,0.5894374634853043,0.6624036575285179,0.9483112256552108,0.46661200692356747,0.2240290774691752,0.36547034195540223,0.3905628263447057,0.3905628263447057,0.08586254590139794,0.06748122978917546,0.9819570758983659,0.6624036575285179,0.6932674441550244,4.547473508864641e-13,1.0,1.5,0.5,0.03,False,False,4000,capacity_recycling
0.3599931612241409,0.3599931612241409,1.0,0.12757133905082074,0.5824432643287893,0.6752088577051618,0.939247582099897,0.4818579027355623,0.2541287370331544,0.3442618380823053,0.37979972389010613,0.37979972389010613,0.0577179824283496,0.05343594875811591,0.9824178618820895,0.6752088577051618,0.6913107946628333,2.2737367544323206e-13,1.0,1.5,0.5,0.03,False,False,4001,capacity_recycling
0.39644365717400193,0.39644365717400193,1.0,0.1399450378739776,0.5594296704751283,0.6718802145902764,0.9498652555069778,0.4136449561780375,0.25260606902202015,0.37856792394103606,0.39693277737238564,0.39693277737238564,0.09556726427024717,0.06532051605344112,0.9823032019558712,0.6718802145902764,0.6858076760350653,9.094947017729282e-13,1.0,1.5,0.5,0.03,False,False,4002,capacity_recycling
0.3655571536196151,0.3655571536196151,1.0,0.12913032138593245,0.5762299724122413,0.6680887791825323,0.9450218922207985,0.4211709601873536,0.22035356419001434,0.3514568447856999,0.3751087280290461,0.3751087280290461,0.06386760764551648,0.05388365488362934,0.9819568004111396,0.6680887791825323,0.6901634662800517,3.410605131648481e-13,1.0,1.5,0.5,0.03,False,False,4003,capacity_recycling
0.40155546459271385,0.40155546459271385,1.0,0.13920620053729316,0.5466589049101058,0.6622420740597422,0.9462329793973385,0.4706082229018009,0.2224152284217169,0.3683305441362918,0.4294282644541922,0.4294282644541922,0.06569717480667057,0.07540197943220008,0.9821308663571378,0.6622420740597422,0.6882008461603516,5.684341886080801e-13,1.0,1.5,0.5,0.03,False,False,4004,capacity_recycling
0.3650890792873657,0.3650890792873657,1.0,0.13001260715061688,0.5779235472866797,0.6657958386194528,0.939673381825497,0.5419072452970758,0.21122656551148702,0.3463190626410468,0.37851309512021797,0.37851309512021797,0.07568550905797247,0.0354584455531112,0.9819593325785547,0.6657958386194528,0.7035109952078668,3.410605131648481e-13,1.0,1.5,0.5,0.03,False,False,4005,capacity_recycling
0.37125440909557894,0.37125440909557894,1.0,0.1298355442727332,0.5640839464040435,0.6664460744351878,0.9441864519125571,0.4232081911262799,0.22188791871269534,0.3531309471648616,0.38700652132259716,0.38700652132259716,0.05936189511352184,0.06499871045113664,0.9820206349022763,0.6664460744351878,0.6925816497430726,2.2737367544323206e-13,1.0,1.5,0.5,0.03,False,False,4006,capacity_recycling
0.39661551109893123,0.39661551109893123,1.0,0.1379328196375502,0.5671620831520636,0.6675156108525272,0.9506302668292973,0.41578856451891516,0.22746842269564688,0.36023118219871664,0.42240062068689244,0.42240062068689244,0.08918543231958471,0.07111010047417148,0.9820282865375518,0.6675156108525272,0.6772934465779958,3.410605131648481e-13,1.0,1.5,0.5,0.03,False,False,4007,capacity_recycling
0.35468250970156945,0.35468250970156945,1.0,0.12588027274260682,0.6007458404634245,0.6731200869878468,0.9421196039462435,0.4613671572424477,0.24456919421253476,0.3383337132157,0.36713920295958485,0.36713920295958485,0.06729432684148313,0.04681072913254809,0.9822939211233767,0.6731200869878468,0.6873861912778412,3.410605131648481e-13,1.0,1.5,0.5,0.03,False,False,4008,capacity_recycling
0.37602133260401355,0.37602133260401355,1.0,0.1329920250859613,0.6300785677611431,0.6551785358345831,0.9409511541123866,0.5266842440221838,0.23996804638007166,0.3676430748724917,0.3690058103585402,0.3690058103585402,0.082461026809006,0.04969637338943,0.9822614673806104,0.6551785358345831,0.6901042216029989,2.2737367544323206e-13,1.0,1.5,0.5,0.03,False,False,4009,capacity_recycling
0.3802687531893179,0.3802687531893179,1.0,0.1344249904351864,0.5886414567559641,0.6627211075638104,0.9458824821566822,0.47199856861692613,0.23477327153583066,0.3648338993238501,0.3924768587473203,0.3924768587473203,0.08021620082007051,0.06476937586809758,0.9822182561807467,0.6627211075638104,0.6894314732602187,5.684341886080801e-13,1.0,1.5,0.5,0.03,False,False,4010,capacity_recycling
0.3759034501568253,0.3759034501568253,1.0,0.1328972704468615,0.5994489599462685,0.6610018505242949,0.9493261685668821,0.4777797932160348,0.20531574821141155,0.35545968958241986,0.3890312168170918,0.3890312168170918,0.03983379804409997,0.05461932074000308,0.9819788029267057,0.6610018505242949,0.6843359841108934,2.2737367544323206e-13,1.0,1.5,0.5,0.03,False,False,4011,capacity_recycling
0.41586900041022834,0.41586900041022834,1.0,0.14391356159646046,0.5290103932485928,0.6653478523980979,0.9527604470805474,0.455980271270037,0.22362212983896934,0.3845042115064655,0.44096532489506696,0.44096532489506696,0.051465258706319864,0.08710990716651182,0.9822576196317085,0.6653478523980979,0.6833965315708012,6.821210263296962e-13,1.0,1.5,0.5,0.03,False,False,4012,capacity_recycling
0.3746420291831447,0.3746420291831447,1.0,0.13223748594626442,0.5974136284238498,0.6629725496458335,0.9421709284016841,0.47647647647647645,0.21221412737788237,0.35894543520882977,0.3818409612319537,0.3818409612319537,0.049265981150722116,0.05652777988183396,0.9818983756291422,0.6629725496458335,0.6905447356794185,6.821210263296962e-13,1.0,1.5,0.5,0.03,False,False,4013,capacity_recycling
