top10_share,recycle,completion_rate_mean,completion_rate_lo,completion_rate_hi,active_completion_rate_mean,active_completion_rate_lo,active_completion_rate_hi,active_demand_share_mean,active_demand_share_lo,active_demand_share_hi,velocity_mean,velocity_lo,velocity_hi,balance_gini_mean,balance_gini_lo,balance_gini_hi,price_index_mean,price_index_lo,price_index_hi,acceptance_mean,acceptance_lo,acceptance_hi,reciprocal_volume_share_mean,reciprocal_volume_share_lo,reciprocal_volume_share_hi,launch5_completion_mean,launch5_completion_lo,launch5_completion_hi,late30_completion_mean,late30_completion_lo,late30_completion_hi,late30_active_completion_mean,late30_active_completion_lo,late30_active_completion_hi,launch5_bottom_access_mean,launch5_bottom_access_lo,launch5_bottom_access_hi,late30_bottom_access_mean,late30_bottom_access_lo,late30_bottom_access_hi,late30_price_mean,late30_price_lo,late30_price_hi
0.1,False,0.4432588652065001,0.4335502139898953,0.4529675164231049,0.4432588652065001,0.4335502139898953,0.4529675164231049,1.0,1.0,1.0,0.14800617874013122,0.14486161183491997,0.15115074564534248,0.5932850357616671,0.583227761907058,0.6033423096162762,0.7004502853502214,0.6965040747852133,0.7043964959152295,0.9219347659567892,0.9198555831407712,0.9240139487728073,0.4497065023685832,0.4318969892410585,0.46751601549610794,0.6390345565343244,0.6322358107246955,0.6458333023439533,0.4447824979256524,0.43381821424305045,0.4557467816082543,0.4447824979256524,0.43381821424305045,0.4557467816082543,0.22999705776878074,0.22190422777594124,0.23808988776162024,0.06866270749056821,0.062167761399460876,0.07515765358167556,0.7004502853502214,0.6965040747852133,0.7043964959152295
0.1,True,0.45112845378513083,0.44004141239419614,0.4622154951760655,0.45112845378513083,0.44004141239419614,0.4622154951760655,1.0,1.0,1.0,0.15100131254431576,0.14743448226777608,0.15456814282085543,0.5936090080393311,0.5852349916689231,0.6019830244097392,0.7129226836905704,0.7088965346276098,0.716948832753531,0.9107492878172225,0.9084074898299,0.913091085804545,0.4439818176633282,0.42500340034674483,0.4629602349799116,0.6390345565343243,0.6322358107246954,0.6458333023439532,0.45723568874023723,0.44422786096454703,0.47024351651592744,0.45723568874023723,0.44422786096454703,0.47024351651592744,0.2299970577687807,0.2219042277759412,0.2380898877616202,0.07352107279284464,0.06617868392425486,0.08086346166143443,0.7129226836905704,0.7088965346276098,0.716948832753531
0.3,False,0.45532760880239576,0.4449977639066026,0.4656574536981889,0.45532760880239576,0.4449977639066026,0.4656574536981889,1.0,1.0,1.0,0.1536022702375614,0.15041126231833363,0.15679327815678917,0.6040305455049041,0.5955665563675098,0.6124945346422984,0.7055032627845705,0.7024689177457473,0.7085376078233938,0.9222963118369613,0.9197063649807474,0.9248862586931751,0.4432600561706634,0.42625416422294476,0.460265948118382,0.659900959897396,0.6519561679026167,0.6678457518921752,0.43596803233298453,0.42524286092283853,0.44669320374313054,0.43596803233298453,0.42524286092283853,0.44669320374313054,0.23167634365806963,0.22417824011100168,0.23917444720513759,0.055044073703327,0.04979543013515529,0.06029271727149871,0.7055032627845705,0.7024689177457473,0.7085376078233938
0.3,True,0.46443338520068755,0.4537547301502939,0.4751120402510812,0.46443338520068755,0.4537547301502939,0.4751120402510812,1.0,1.0,1.0,0.15713818780696648,0.15370825164377108,0.16056812397016187,0.6023076166202795,0.5912185689948894,0.6133966642456696,0.7211255261020695,0.7171650094509141,0.7250860427532249,0.9082519668735296,0.9053620087161547,0.9111419250309045,0.4383865349638455,0.4217166349850436,0.4550564349426474,0.6599009598973961,0.6519561679026168,0.6678457518921753,0.45230080497863556,0.4401685254030769,0.46443308455419424,0.45230080497863556,0.4401685254030769,0.46443308455419424,0.23167634365806963,0.22417824011100168,0.23917444720513759,0.06637662808253474,0.06080360526712107,0.0719496508979484,0.7211255261020695,0.7171650094509141,0.7250860427532249
0.5,False,0.41974588481583475,0.40968928233726565,0.42980248729440385,0.41974588481583475,0.40968928233726565,0.42980248729440385,1.0,1.0,1.0,0.13528771081441207,0.1323939845522363,0.13818143707658784,0.6218737438099565,0.6124592560495165,0.6312882315703966,0.6769049382517536,0.674486330077682,0.6793235464258252,0.9249649255001644,0.9235697578507283,0.9263600931496005,0.45630450900045194,0.44168380591885986,0.470925212082044,0.22277788186804287,0.21355127395439757,0.23200448978168817,0.43994930348887545,0.4283988586352947,0.4514997483424562,0.43994930348887545,0.4283988586352947,0.4514997483424562,0.05782046371559949,0.051700740480135086,0.0639401869510639,0.06259200213633567,0.055526037587715106,0.06965796668495623,0.6769049382517536,0.674486330077682,0.6793235464258252
0.5,True,0.43811345413745517,0.42750558077501694,0.4487213274998934,0.43811345413745517,0.42750558077501694,0.4487213274998934,1.0,1.0,1.0,0.14273128778507377,0.13939440141081855,0.146068174159329,0.6139067652696244,0.60396222710102,0.6238513034382288,0.6997168908019126,0.6963329235034265,0.7031008581003987,0.910330091262705,0.9076627456060861,0.912997436919324,0.4379251056268719,0.4202741445724104,0.45557606668133344,0.22277788186804287,0.21355127395439757,0.23200448978168817,0.4533777572683686,0.44049404164249234,0.46626147289424485,0.4533777572683686,0.44049404164249234,0.46626147289424485,0.05782046371559949,0.051700740480135086,0.0639401869510639,0.06846578694995471,0.062168999224741436,0.07476257467516799,0.6997168908019126,0.6963329235034265,0.7031008581003987
0.7,False,0.42518072302149756,0.4152521891603709,0.43510925688262425,0.42518072302149756,0.4152521891603709,0.43510925688262425,1.0,1.0,1.0,0.1391969072080706,0.13617939514912006,0.14221441926702114,0.61157755608738,0.6037710612933216,0.6193840508814383,0.6899533292723712,0.6861319831024982,0.6937746754422441,0.9215903059542134,0.9188934303234203,0.9242871815850066,0.44795081677036064,0.43063533233528467,0.4652663012054366,0.2216714503627218,0.2126894661745204,0.2306534345509232,0.43814632470150466,0.4262249531089836,0.4500676962940257,0.43814632470150466,0.4262249531089836,0.4500676962940257,0.05721379778949176,0.05118859155898297,0.06323900402000054,0.06510709288064716,0.05981186124933158,0.07040232451196274,0.6899533292723712,0.6861319831024982,0.6937746754422441
0.7,True,0.4316206502343592,0.42178285893584655,0.44145844153287184,0.4316206502343592,0.42178285893584655,0.44145844153287184,1.0,1.0,1.0,0.14123955848788528,0.1382839378585908,0.14419517911717974,0.6026617858854839,0.5926135138989823,0.6127100578719855,0.7025508179444826,0.6993649760693146,0.7057366598196506,0.9107668326476126,0.9079249253423097,0.9136087399529155,0.44635651277060895,0.4293305346119611,0.4633824909292568,0.2216714503627218,0.2126894661745204,0.2306534345509232,0.45582344258188223,0.44204709047697144,0.469599794686793,0.45582344258188223,0.44204709047697144,0.469599794686793,0.05721379778949176,0.05118859155898297,0.06323900402000054,0.0705366348640363,0.06373931261977882,0.07733395710829379,0.7025508179444826,0.6993649760693146,0.7057366598196506
0.865,False,0.4363507536347372,0.42608136039762534,0.44662014687184903,0.4363507536347372,0.42608136039762534,0.44662014687184903,1.0,1.0,1.0,0.14342091436332716,0.14030674206107416,0.14653508666558016,0.610959561148506,0.6024978288376183,0.6194212934593938,0.6931856066561545,0.6900600216781877,0.6963111916341213,0.9214050990629519,0.9186804492752614,0.9241297488506424,0.4489843349180457,0.4310937465243337,0.4668749233117577,0.22131043953239687,0.2123854491460929,0.23023542991870086,0.4378665825238241,0.42623721035629125,0.44949595469135695,0.4378665825238241,0.42623721035629125,0.44949595469135695,0.05681742686926082,0.05088265082134977,0.06275220291717187,0.05674712301888046,0.05106866879058839,0.062425577247172535,0.6931856066561545,0.6900600216781877,0.6963111916341213
0.865,True,0.4444962530936437,0.4342008463972528,0.4547916597900346,0.4444962530936437,0.4342008463972528,0.4547916597900346,1.0,1.0,1.0,0.14660804537221814,0.1434062431181438,0.14980984762629249,0.6129728685342933,0.6034752042859779,0.6224705327826088,0.708553421148377,0.7049171572324804,0.7121896850642737,0.9096378815321442,0.9069750757138234,0.912300687350465,0.4442490507433047,0.4255658650993663,0.46293223638724307,0.22131043953239687,0.2123854491460929,0.23023542991870086,0.45468132640918135,0.4410627011446094,0.4682999516737533,0.45468132640918135,0.4410627011446094,0.4682999516737533,0.05681742686926082,0.05088265082134977,0.06275220291717187,0.06413721298151978,0.05859809345627268,0.06967633250676689,0.708553421148377,0.7049171572324804,0.7121896850642737
