completion_rate,active_completion_rate,active_demand_share,velocity,balance_gini,price_index,acceptance,reciprocal_volume_share,launch5_completion,early30_completion,late30_completion,late30_active_completion,launch5_bottom_access,late30_bottom_access,launch5_price,late30_price,late30_capacity_pressure,conservation_error,coverage,mean_balance,top10_share,tau,recycle,tight_capacity,seed,experiment
0.2648860030989449,0.2648860030989449,1.0,0.14076797155316256,0.6022322433493066,0.5972508394092169,0.9238469416683425,0.43760445682451254,0.0,0.0,0.42918435664116994,0.42918435664116994,0.0,0.060469945496854284,0.9794378076534226,0.5972508394092169,0.6406177641965681,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2004,stock
0.27491931594762026,0.27491931594762026,1.0,0.14551645141506367,0.5731084274018039,0.5982720977494943,0.9292597967501611,0.3937390365672649,0.0,0.0,0.43250551768683027,0.43250551768683027,0.0,0.050427452702863605,0.9794378076534226,0.5982720977494943,0.6449712942841584,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2005,stock
0.26528058877644894,0.26528058877644894,1.0,0.14163570447030255,0.6000334272987051,0.5987327716234823,0.9267733848201586,0.38382577333888196,0.0,0.0,0.4248789814390596,0.4248789814390596,0.0,0.06736438921424098,0.9794378076534226,0.5987327716234823,0.6480871849875787,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2006,stock
0.2650741167292046,0.2650741167292046,1.0,0.14037091948809505,0.5971871944289215,0.5975454330945796,0.9213472542673765,0.4456902592852137,0.0,0.0,0.42264065821666813,0.42264065821666813,0.0,0.05918789111967064,0.9794378076534226,0.5975454330945796,0.6461834179046652,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2007,stock
0.2575902024053975,0.2575902024053975,1.0,0.13850429982027904,0.5834297901502286,0.5993629495318079,0.9222079912218235,0.4192170818505338,0.0,0.0,0.40943673354557303,0.40943673354557303,0.0,0.06299859131668172,0.9794378076534226,0.5993629495318079,0.6571375953763595,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2000,stock
0.28101228245946047,0.28101228245946047,1.0,0.14829043390277358,0.5611310907073754,0.5989099006521669,0.9262656172181732,0.3995774461904133,0.0,0.0,0.4566469696719212,0.4566469696719212,0.0,0.07237873991175542,0.9794378076534226,0.5989099006521669,0.6411755781125711,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2001,stock
0.27837083875767155,0.27837083875767155,1.0,0.14700956165941975,0.6011454303017809,0.5988144802353194,0.9311284545530975,0.4076696953500802,0.0,0.0,0.43951451948985737,0.43951451948985737,0.0,0.05395885788245891,0.9794378076534226,0.5988144802353194,0.6424167983479133,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2002,stock
0.25183174024621563,0.25183174024621563,1.0,0.13376864727077953,0.6093299798484486,0.5992966881610499,0.9254103858825063,0.4241618667848176,0.0,0.0,0.3851364410970926,0.3851364410970926,0.0,0.0659220520720664,0.9794378076534226,0.5992966881610499,0.648924962225166,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2003,stock
0.25918926930487624,0.25918926930487624,1.0,0.13767214520206073,0.5960419412542093,0.6002736078861491,0.9258685342202135,0.4441744102930665,0.0,0.0,0.40492819860635465,0.40492819860635465,0.0,0.0719552213836991,0.9794378076534226,0.6002736078861491,0.6528400199909515,5.684341886080802e-14,1.0,0.75,0.1,0.01,True,False,2016,stock
0.2642724916697519,0.2642724916697519,1.0,0.1403765074732372,0.585118692477516,0.5978431922939452,0.9246025548054249,0.3589240683664892,0.0,0.0,0.4160416778923127,0.4160416778923127,0.0,0.05297199985279347,0.9794378076534226,0.5978431922939452,0.6557255265519544,1.1368683772161603e-13,1.0,0.75,0.1,0.01,True,False,2017,stock
