completion_rate,active_completion_rate,active_demand_share,velocity,balance_gini,price_index,acceptance,reciprocal_volume_share,launch5_completion,early30_completion,late30_completion,late30_active_completion,launch5_bottom_access,late30_bottom_access,launch5_price,late30_price,late30_capacity_pressure,conservation_error,coverage,mean_balance,top10_share,tau,recycle,tight_capacity,seed,experiment
0.46854728101716275,0.46854728101716275,1.0,0.15512780533700463,0.5757053427127972,0.6982743489170201,0.9212856711291271,0.452373417721519,0.6466974683042299,0.4917335378601525,0.48835752472018734,0.48835752472018734,0.23506450874919876,0.09430933532587801,0.9868789364472119,0.6982743489170201,0.6482854148820736,2.2737367544323206e-13,1.0,1.5,0.1,0.01,False,False,3000,concentration
0.46263305736250737,0.46263305736250737,1.0,0.1540488634506426,0.5953916276177011,0.6941454614324898,0.9225448949266454,0.47167851721658544,0.6501462483159806,0.4806997235650636,0.4719164073445085,0.4719164073445085,0.24567125014257232,0.0737193916595684,0.9870499155828331,0.6941454614324898,0.6439563723752965,4.547473508864641e-13,1.0,1.5,0.1,0.01,False,False,3001,concentration
0.43905934227448096,0.43905934227448096,1.0,0.1484532467701734,0.5830986731699344,0.6975921973144623,0.9167053279929445,0.4696627332831199,0.6360590286754443,0.46123219311256325,0.4439507557360025,0.4439507557360025,0.21113894214921675,0.08101996448178578,0.9871832385896798,0.6975921973144623,0.6612555659917946,2.2737367544323206e-13,1.0,1.5,0.1,0.01,False,False,3002,concentration
0.44815185555926296,0.44815185555926296,1.0,0.15024314213259454,0.6006594893484638,0.6943302716453361,0.9211771928616508,0.40354070152217075,0.646642367314093,0.4821621433191563,0.44402504496211376,0.44402504496211376,0.21655760238727412,0.07302796517411977,0.9866389541159089,0.6943302716453361,0.6520340371987768,4.547473508864641e-13,1.0,1.5,0.1,0.01,False,False,3003,concentration
0.4667503600044308,0.4667503600044308,1.0,0.15587079587918498,0.5669572154125935,0.7058249943662862,0.9221535926239172,0.4439522189700182,0.6660678194737721,0.4955556360412384,0.4692857648641161,0.4692857648641161,0.25818957015872085,0.06959090053566587,0.9870814923158507,0.7058249943662862,0.6526992817393263,2.2737367544323206e-13,1.0,1.5,0.1,0.01,False,False,3008,concentration
0.4977822505497782,0.4977822505497782,1.0,0.16313618326027957,0.5996657939956025,0.6810286756346804,0.9223263296127232,0.462822912766754,0.6616749610276852,0.5243377830330874,0.4891973647714319,0.4891973647714319,0.25385828940368044,0.08122692065365911,0.9867524178766975,0.6810286756346804,0.64603642897923,3.410605131648481e-13,1.0,1.5,0.1,0.01,False,False,3009,concentration
0.435086292915481,0.435086292915481,1.0,0.14718045702905838,0.6118004640490919,0.6921840879842821,0.9216579616622983,0.4773634587615731,0.6182074455686973,0.46276433502679964,0.4347140022727322,0.4347140022727322,0.20600486768133827,0.05158354388151657,0.9869682987681229,0.6921840879842821,0.6418389100103606,2.2737367544323206e-13,1.0,1.5,0.1,0.01,False,False,3010,concentration
0.45653378652972254,0.45653378652972254,1.0,0.1536773952657207,0.5760079209289959,0.6989074004096173,0.9258751947731062,0.4751153192522457,0.6368382433394005,0.4843112896777147,0.4498734401977479,0.4498734401977479,0.21915952448294534,0.06262767738366394,0.9871912329647353,0.6989074004096173,0.6573027992724884,4.547473508864641e-13,1.0,1.5,0.1,0.01,False,False,3011,concentration
0.42928808557727777,0.42928808557727777,1.0,0.1446300310187769,0.6058963446514787,0.6954361742656873,0.9215446073137107,0.39551469324626226,0.6552214909476597,0.4665506216257081,0.4210867432895341,0.4210867432895341,0.23112731142106907,0.04880980772113026,0.9871649305632367,0.6954361742656873,0.6487885277075723,3.410605131648481e-13,1.0,1.5,0.1,0.01,False,False,3016,concentration
0.4102142910475622,0.4102142910475622,1.0,0.13782646807799193,0.6197796437895453,0.7043944985412378,0.9165576764929647,0.5003640334910812,0.637016240343287,0.4533319100146883,0.38332475676407257,0.38332475676407257,0.21536690989690518,0.04321224741643768,0.9865566931317147,0.7043944985412378,0.6480250677508811,4.547473508864641e-13,1.0,1.5,0.1,0.01,False,False,3017,concentration
