mean_balance,completion_rate_mean,completion_rate_lo,completion_rate_hi,active_completion_rate_mean,active_completion_rate_lo,active_completion_rate_hi,active_demand_share_mean,active_demand_share_lo,active_demand_share_hi,velocity_mean,velocity_lo,velocity_hi,balance_gini_mean,balance_gini_lo,balance_gini_hi,price_index_mean,price_index_lo,price_index_hi,acceptance_mean,acceptance_lo,acceptance_hi,reciprocal_volume_share_mean,reciprocal_volume_share_lo,reciprocal_volume_share_hi,launch5_completion_mean,launch5_completion_lo,launch5_completion_hi,late30_completion_mean,late30_completion_lo,late30_completion_hi,late30_active_completion_mean,late30_active_completion_lo,late30_active_completion_hi,launch5_bottom_access_mean,launch5_bottom_access_lo,launch5_bottom_access_hi,late30_bottom_access_mean,late30_bottom_access_lo,late30_bottom_access_hi,late30_price_mean,late30_price_lo,late30_price_hi
0.75,0.2638539379414918,0.25962911873114236,0.26807875715184126,0.2638539379414918,0.25962911873114236,0.26807875715184126,1.0,1.0,1.0,0.14005611933216452,0.1379956732374073,0.14211656542692175,0.5932710514646038,0.5864075599974317,0.6001345429317759,0.5983479313017476,0.5979579120831887,0.5987379505203064,0.9254647849849432,0.923636838812607,0.9272927311572794,0.41654392227318154,0.40465816495950635,0.42842967958685674,0.0,0.0,0.0,0.41840917155774787,0.41012192302961614,0.4266964200858796,0.41840917155774787,0.41012192302961614,0.4266964200858796,0.0,0.0,0.0,0.05819769937417335,0.054824624795633756,0.061570773952712946,0.5983479313017476,0.5979579120831887,0.5987379505203064
1.5,0.4426398132128659,0.4338877052307196,0.45139192119501215,0.4426398132128659,0.4338877052307196,0.45139192119501215,1.0,1.0,1.0,0.14787983816166447,0.14512813237102087,0.15063154395230807,0.5918858582301759,0.5815446994260175,0.6022270170343343,0.7168908786570294,0.7127905116020423,0.7209912457120164,0.911409397567833,0.9091161104022589,0.9137026847334071,0.4357358983664966,0.42576369430802724,0.445708102424966,0.6357314114564164,0.6276438115329069,0.6438190113799259,0.4522123487545275,0.44264366587173837,0.4617810316373166,0.4522123487545275,0.44264366587173837,0.4617810316373166,0.2292380188986493,0.2208496846488877,0.2376263531484109,0.07377174630525571,0.06828002642254345,0.07926346618796797,0.7168908786570294,0.7127905116020423,0.7209912457120164
2.0,0.4928385276972402,0.48296404911804747,0.5027130062764329,0.4928385276972402,0.48296404911804747,0.5027130062764329,1.0,1.0,1.0,0.12724732980701275,0.12483226273178658,0.12966239688223893,0.6099813299798328,0.5951924878330108,0.6247701721266548,0.7775434502554621,0.7706476679063153,0.7844392326046089,0.8991556090954809,0.8965774651583602,0.9017337530326015,0.4232671216004264,0.4121559115426279,0.4343783316582249,0.7279782082751687,0.719659415016428,0.7362970015339093,0.4604309864328127,0.4468343734245913,0.4740275994410341,0.4604309864328127,0.4468343734245913,0.4740275994410341,0.384524248453936,0.37219497668708196,0.39685352022079007,0.07118280812474617,0.06444066903565791,0.07792494721383443,0.7775434502554621,0.7706476679063153,0.7844392326046089
4.0,0.5434104507128974,0.5322729408617191,0.5545479605640757,0.5434104507128974,0.5322729408617191,0.5545479605640757,1.0,1.0,1.0,0.07288538905448895,0.07154377644026065,0.07422700166871725,0.6427178200195124,0.6293251104566859,0.6561105295823388,0.9179735264116221,0.9047871316195845,0.9311599212036598,0.8700477228562112,0.8674935284143054,0.8726019172981171,0.4040186122185728,0.3928956270882385,0.41514159734890715,0.7970518512720911,0.7883943589670964,0.8057093435770858,0.46943187533402125,0.4567717402657067,0.4820920104023358,0.46943187533402125,0.4567717402657067,0.4820920104023358,0.770290968986152,0.758436293736789,0.782145644235515,0.07142286476578144,0.06513621533103643,0.07770951420052645,0.9179735264116221,0.9047871316195845,0.9311599212036598
8.0,0.6054783445653596,0.5942382921397835,0.6167183969909358,0.6054783445653596,0.5942382921397835,0.6167183969909358,1.0,1.0,1.0,0.041875463655935946,0.04122591511267474,0.04252501219919715,0.6240011894639798,0.6117474350792019,0.6362549438487576,1.0352276897883472,1.0193053393837566,1.051150040192938,0.8464821191188152,0.8434467505595997,0.8495174876780307,0.39902277050018475,0.3881537571709566,0.4098917838294129,0.8013311918622528,0.792514678697349,0.8101477050271565,0.49857860565977524,0.48477966825838875,0.5123775430611618,0.49857860565977524,0.48477966825838875,0.5123775430611618,0.8001484642860304,0.7865971353465154,0.8136997932255453,0.08305426761025218,0.06671719373219175,0.09939134148831262,1.0352276897883472,1.0193053393837566,1.051150040192938
